Date,V1,V2,V3
2024-5-9 9:40:41,128.77 ,126.11 ,127.04 
2024-5-9 9:40:43,128.80 ,126.09 ,127.04 
2024-5-9 9:40:44,128.90 ,126.17 ,127.14 
2024-5-9 9:40:45,128.89 ,126.19 ,127.12 
2024-5-9 9:40:46,128.87 ,126.12 ,127.06 
2024-5-9 9:40:47,128.84 ,126.12 ,127.06 
2024-5-9 9:40:49,128.84 ,126.17 ,127.07 
2024-5-9 9:40:50,128.86 ,126.13 ,127.08 
2024-5-9 9:40:51,128.87 ,126.10 ,127.04 
2024-5-9 9:40:52,128.88 ,126.11 ,127.04 
2024-5-9 9:40:54,128.90 ,126.13 ,127.08 
2024-5-9 9:40:55,128.92 ,126.17 ,127.12 
2024-5-9 9:40:56,128.94 ,126.18 ,127.13 
2024-5-9 9:40:57,128.95 ,126.21 ,127.17 
2024-5-9 9:40:58,128.95 ,126.19 ,127.17 
2024-5-9 9:41:0,129.02 ,126.24 ,127.22 
2024-5-9 9:41:1,129.03 ,126.24 ,127.23 
2024-5-9 9:41:2,129.00 ,126.22 ,127.22 
2024-5-9 9:41:3,129.02 ,126.22 ,127.22 
2024-5-9 9:41:4,129.00 ,126.15 ,127.23 
2024-5-9 9:41:6,128.95 ,126.12 ,127.23 
2024-5-9 9:41:7,128.94 ,126.16 ,127.22 
2024-5-9 9:41:8,128.92 ,126.16 ,127.20 
2024-5-9 9:41:9,128.94 ,126.19 ,127.23 
2024-5-9 9:41:11,128.95 ,126.20 ,127.29 
2024-5-9 9:41:12,128.99 ,126.18 ,127.27 
2024-5-9 9:41:13,128.96 ,126.19 ,127.27 
2024-5-9 9:41:14,128.93 ,126.09 ,127.16 
2024-5-9 9:41:15,128.89 ,126.07 ,127.13 
2024-5-9 9:41:17,128.93 ,126.06 ,127.10 
2024-5-9 9:41:18,128.95 ,126.03 ,127.09 
2024-5-9 9:41:19,128.89 ,126.02 ,127.10 
2024-5-9 9:41:20,128.98 ,126.07 ,127.13 
2024-5-9 9:41:22,128.95 ,126.07 ,127.10 
2024-5-9 9:41:23,128.91 ,126.05 ,127.05 
2024-5-9 9:41:24,128.91 ,126.07 ,127.06 
2024-5-9 9:41:25,128.90 ,126.06 ,127.09 
2024-5-9 9:41:26,128.90 ,126.08 ,127.07 
2024-5-9 9:41:28,128.95 ,126.09 ,127.06 
2024-5-9 9:41:29,128.86 ,126.04 ,127.02 
2024-5-9 9:41:30,128.87 ,126.07 ,127.06 
2024-5-9 9:41:31,128.86 ,126.06 ,127.02 
2024-5-9 9:41:32,128.80 ,125.98 ,126.99 
2024-5-9 9:41:34,128.79 ,126.00 ,126.98 
2024-5-9 9:41:35,128.79 ,126.01 ,127.00 
2024-5-9 9:41:36,128.85 ,126.06 ,127.04 
2024-5-9 9:41:37,128.95 ,126.12 ,127.08 
2024-5-9 9:41:39,128.95 ,126.15 ,127.10 
2024-5-9 9:41:40,128.95 ,126.14 ,127.10 
2024-5-9 9:41:41,128.95 ,126.16 ,127.12 
2024-5-9 9:41:42,128.94 ,126.15 ,127.12 
2024-5-9 9:41:43,128.92 ,126.14 ,127.10 
2024-5-9 9:41:45,129.00 ,126.23 ,127.20 
2024-5-9 9:41:46,129.01 ,126.20 ,127.17 
2024-5-9 9:41:47,129.03 ,126.22 ,127.21 
2024-5-9 9:41:48,129.03 ,126.22 ,127.21 
2024-5-9 9:41:50,129.01 ,126.23 ,127.18 
2024-5-9 9:41:51,128.98 ,126.16 ,127.11 
2024-5-9 9:41:52,128.92 ,126.16 ,127.11 
2024-5-9 9:41:53,128.94 ,126.16 ,127.13 
2024-5-9 9:41:54,128.95 ,126.19 ,127.18 
2024-5-9 9:41:56,128.99 ,126.19 ,127.18 
2024-5-9 9:41:57,128.98 ,126.19 ,127.19 
2024-5-9 9:41:58,128.94 ,126.20 ,127.22 
2024-5-9 9:41:59,128.95 ,126.20 ,127.22 
2024-5-9 9:42:0,128.99 ,126.21 ,127.27 
2024-5-9 9:42:2,128.97 ,126.14 ,127.19 
2024-5-9 9:42:3,128.92 ,126.15 ,127.22 
2024-5-9 9:42:4,128.90 ,126.16 ,127.22 
2024-5-9 9:42:5,128.91 ,126.18 ,127.25 
2024-5-9 9:42:7,128.91 ,126.18 ,127.26 
2024-5-9 9:42:8,128.96 ,126.20 ,127.24 
2024-5-9 9:42:9,128.92 ,126.16 ,127.24 
2024-5-9 9:42:10,128.95 ,126.20 ,127.26 
2024-5-9 9:42:11,129.01 ,126.24 ,127.02 
2024-5-9 9:42:13,128.53 ,125.88 ,126.79 
2024-5-9 9:42:14,128.87 ,126.15 ,127.09 
2024-5-9 9:42:15,128.82 ,126.14 ,127.06 
2024-5-9 9:42:16,128.74 ,126.06 ,127.02 
2024-5-9 9:42:18,128.76 ,126.10 ,127.02 
2024-5-9 9:42:19,128.77 ,126.09 ,127.04 
2024-5-9 9:42:20,128.77 ,126.08 ,127.01 
2024-5-9 9:42:21,128.70 ,126.07 ,126.98 
2024-5-9 9:42:22,128.66 ,126.03 ,126.94 
2024-5-9 9:42:24,128.64 ,126.02 ,126.93 
2024-5-9 9:42:25,128.61 ,126.04 ,126.93 
2024-5-9 9:42:26,128.66 ,126.05 ,126.95 
2024-5-9 9:42:27,128.66 ,126.06 ,126.97 
2024-5-9 9:42:28,128.69 ,126.04 ,126.98 
2024-5-9 9:42:30,128.69 ,126.06 ,126.97 
2024-5-9 9:42:31,128.69 ,126.08 ,127.00 
2024-5-9 9:42:32,128.71 ,126.06 ,126.99 
2024-5-9 9:42:33,128.70 ,126.06 ,126.97 
2024-5-9 9:42:35,128.58 ,125.96 ,126.86 
2024-5-9 9:42:36,128.63 ,126.02 ,126.92 
2024-5-9 9:42:37,128.53 ,125.93 ,126.82 
2024-5-9 9:42:38,128.56 ,125.95 ,126.82 
2024-5-9 9:42:39,128.53 ,125.87 ,126.75 
2024-5-9 9:42:41,128.48 ,125.82 ,126.72 
2024-5-9 9:42:42,128.46 ,125.81 ,126.70 
2024-5-9 9:42:43,128.34 ,125.70 ,126.61 
2024-5-9 9:42:44,128.40 ,125.76 ,126.68 
2024-5-9 9:42:45,128.49 ,125.86 ,126.76 
2024-5-9 9:42:47,128.46 ,125.82 ,126.81 
2024-5-9 9:42:48,128.55 ,125.86 ,126.79 
2024-5-9 9:42:49,128.52 ,125.91 ,126.85 
2024-5-9 9:42:50,128.51 ,125.84 ,126.79 
2024-5-9 9:42:52,128.46 ,125.80 ,126.75 
2024-5-9 9:42:53,128.53 ,125.93 ,126.81 
2024-5-9 9:42:54,128.48 ,125.79 ,126.75 
2024-5-9 9:42:55,128.26 ,125.64 ,126.57 
2024-5-9 9:42:56,128.35 ,125.73 ,126.63 
2024-5-9 9:42:58,128.33 ,125.72 ,126.58 
2024-5-9 9:42:59,128.33 ,125.79 ,126.63 
2024-5-9 9:43:0,128.43 ,125.88 ,126.67 
2024-5-9 9:43:1,128.49 ,125.87 ,126.68 
2024-5-9 9:43:3,128.52 ,125.87 ,126.72 
2024-5-9 9:43:4,128.61 ,125.97 ,126.78 
2024-5-9 9:43:5,128.63 ,126.01 ,126.80 
2024-5-9 9:43:6,128.68 ,126.05 ,126.88 
2024-5-9 9:43:7,128.68 ,126.06 ,126.92 
2024-5-9 9:43:9,128.67 ,126.03 ,126.89 
2024-5-9 9:43:10,128.67 ,126.07 ,126.91 
2024-5-9 9:43:11,128.69 ,126.06 ,126.91 
2024-5-9 9:43:12,128.71 ,126.03 ,126.93 
2024-5-9 9:43:13,128.72 ,126.02 ,126.98 
2024-5-9 9:43:15,128.66 ,125.98 ,126.90 
2024-5-9 9:43:16,128.67 ,126.00 ,126.91 
2024-5-9 9:43:17,128.74 ,126.03 ,126.94 
2024-5-9 9:43:18,128.73 ,126.04 ,126.91 
2024-5-9 9:43:20,128.68 ,126.04 ,126.91 
2024-5-9 9:43:21,128.69 ,126.05 ,126.91 
2024-5-9 9:43:22,128.74 ,126.11 ,126.97 
2024-5-9 9:43:23,128.71 ,126.11 ,126.96 
2024-5-9 9:43:24,128.62 ,125.96 ,126.82 
2024-5-9 9:43:26,128.53 ,125.92 ,126.78 
2024-5-9 9:43:27,128.58 ,125.98 ,126.82 
2024-5-9 9:43:28,128.57 ,125.97 ,126.84 
2024-5-9 9:43:29,128.60 ,126.05 ,126.91 
2024-5-9 9:43:31,128.65 ,126.08 ,127.03 
2024-5-9 9:43:32,128.86 ,126.22 ,127.26 
2024-5-9 9:43:33,128.87 ,126.21 ,127.22 
2024-5-9 9:43:34,128.90 ,126.23 ,127.22 
2024-5-9 9:43:35,128.87 ,126.20 ,127.23 
2024-5-9 9:43:37,128.87 ,126.18 ,127.18 
2024-5-9 9:43:38,128.82 ,126.16 ,127.16 
2024-5-9 9:43:39,128.80 ,126.14 ,127.17 
2024-5-9 9:43:40,128.83 ,126.18 ,127.23 
2024-5-9 9:43:41,128.79 ,126.16 ,127.20 
2024-5-9 9:43:43,128.81 ,126.19 ,127.22 
2024-5-9 9:43:44,128.84 ,126.22 ,127.25 
2024-5-9 9:43:45,128.89 ,126.26 ,127.31 
2024-5-9 9:43:46,128.92 ,126.32 ,127.35 
2024-5-9 9:43:48,128.93 ,126.29 ,127.33 
2024-5-9 9:43:49,128.91 ,126.25 ,127.26 
2024-5-9 9:43:50,128.91 ,126.27 ,127.28 
2024-5-9 9:43:51,128.94 ,126.29 ,127.28 
2024-5-9 9:43:52,128.98 ,126.31 ,127.29 
2024-5-9 9:43:54,128.96 ,126.29 ,127.29 
2024-5-9 9:43:55,128.95 ,126.28 ,127.28 
2024-5-9 9:43:56,128.90 ,126.25 ,127.25 
2024-5-9 9:43:57,128.90 ,126.26 ,127.26 
2024-5-9 9:43:59,128.89 ,126.25 ,127.26 
2024-5-9 9:44:0,128.87 ,126.26 ,127.29 
2024-5-9 9:44:1,128.90 ,126.27 ,127.29 
2024-5-9 9:44:2,128.92 ,126.29 ,127.33 
2024-5-9 9:44:3,128.95 ,126.34 ,127.39 
2024-5-9 9:44:5,128.97 ,126.35 ,127.40 
